iter	MultiClass
0	1.522892134
1	1.492786299
2	1.476006523
3	1.464951575
4	1.45591052
5	1.450494201
6	1.446050935
7	1.441648706
8	1.437741788
9	1.434944051
10	1.432412601
11	1.429723312
12	1.428123852
13	1.426997617
14	1.424920595
15	1.423587987
16	1.422466287
17	1.4205823
18	1.419042129
19	1.418207925
20	1.41739839
21	1.416457018
22	1.415301189
23	1.414665162
24	1.413613015
25	1.413025326
26	1.412180794
27	1.410940321
28	1.408973308
29	1.407825911
30	1.406634356
31	1.405711746
32	1.404603449
33	1.403866229
34	1.403463367
35	1.402886896
36	1.402198472
37	1.401032051
38	1.399820998
39	1.399423675
40	1.398608584
41	1.398150535
42	1.397458962
43	1.39700267
44	1.396417304
45	1.395832136
46	1.395165663
47	1.394693203
48	1.393938767
49	1.39291942
50	1.392433936
51	1.392178577
52	1.39170999
53	1.391407334
54	1.39077988
55	1.390127897
56	1.389762231
57	1.389368221
58	1.388949262
59	1.388516457
60	1.388032183
61	1.387099473
62	1.386709343
63	1.38643162
64	1.385841335
65	1.385600923
66	1.385201351
67	1.384826052
68	1.384228989
69	1.383788247
70	1.383371341
71	1.382893367
72	1.382447831
73	1.381983224
74	1.381493756
75	1.381223703
76	1.380781226
77	1.380395883
78	1.379935222
79	1.379579022
80	1.37885719
81	1.378425892
82	1.378113794
83	1.377560668
84	1.377214863
85	1.376885551
86	1.376464637
87	1.376149875
88	1.375819489
89	1.375512445
90	1.375158327
91	1.374927806
92	1.374513953
93	1.374191521
94	1.37376681
95	1.373435168
96	1.373208179
97	1.372697364
98	1.372401861
99	1.372013604
