iter	Passed	Remaining
0	6	684
1	13	682
2	19	645
3	26	630
4	32	623
5	39	618
6	47	626
7	55	632
8	64	648
9	73	665
10	83	675
11	93	683
12	102	685
13	112	692
14	120	683
15	131	689
16	138	675
17	147	670
18	153	654
19	161	644
20	166	627
21	174	619
22	183	613
23	189	599
24	196	589
25	202	576
26	209	567
27	216	555
28	222	543
29	229	535
30	235	524
31	243	517
32	250	507
33	257	499
34	263	489
35	269	479
36	277	473
37	284	464
38	292	456
39	299	449
40	306	440
41	313	433
42	322	427
43	329	419
44	334	409
45	342	401
46	348	393
47	354	384
48	360	375
49	366	366
50	373	358
51	379	350
52	386	342
53	392	334
54	399	327
55	406	319
56	412	311
57	419	303
58	425	295
59	431	287
60	438	280
61	445	272
62	451	265
63	458	257
64	464	249
65	470	242
66	476	234
67	483	227
68	489	219
69	496	212
70	505	206
71	510	198
72	517	191
73	524	184
74	530	176
75	538	169
76	544	162
77	550	155
78	557	148
79	563	140
80	569	133
81	575	126
82	581	119
83	589	112
84	593	104
85	600	97
86	607	90
87	612	83
88	618	76
89	624	69
90	631	62
91	638	55
92	644	48
93	652	41
94	658	34
95	664	27
96	671	20
97	677	13
98	684	6
99	690	0
